,URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
0,37.0,https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,63,-34,-0.9999989462071559,0.6423908478126013,15.826666666666666,21.988205560235887,15.125948890761022,27.333333333333332,261,1187,0,1,5
1,38.0,https://insights.blackcoffer.com/what-if-the-creation-is-taking-over-the-creator/,58,-37,-0.9999988990479041,0.6611072052740339,10.126582278481013,16.625,10.700632911392406,20.949367088607595,133,800,0,7,3
2,39.0,https://insights.blackcoffer.com/what-jobs-will-robots-take-from-humans-in-the-future/,63,-35,-0.9999989400002626,0.6578676327320705,12.214285714285714,22.12475633528265,13.735616819827346,22.666666666666668,227,1026,0,3,4
3,40.0,https://insights.blackcoffer.com/will-machine-replace-the-human-in-the-future-of-work/,62,-26,-0.9999989822224631,0.7435442528152953,10.170212765957446,14.958158995815898,10.051348704709339,19.47872340425532,143,956,0,17,4
4,41.0,https://insights.blackcoffer.com/will-ai-replace-us-or-work-with-us/,56,-25,-0.9999989754841156,0.6788404563266046,13.421052631578947,18.725490196078432,12.858617131062951,25.81578947368421,191,1020,0,16,4
5,42.0,https://insights.blackcoffer.com/man-and-machines-together-machines-are-more-diligent-than-humans-blackcoffe/,44,-25,-0.9999989347371098,0.6533301253101875,12.0,20.62146892655367,13.048587570621471,24.847457627118644,146,708,0,21,4
6,43.0,https://insights.blackcoffer.com/in-future-or-in-upcoming-years-humans-and-machines-are-going-to-work-together-in-every-field-of-work/,21,-11,-0.9999989520002649,0.638865378168627,9.818181818181818,18.51851851851852,11.334680134680136,19.272727272727273,80,432,0,7,4
7,44.0,https://insights.blackcoffer.com/how-neural-networks-can-be-applied-in-various-areas-in-the-future/,0,0,-0.9999990800001932,0.5194185298613686,3.5,0.0,1.4000000000000001,10.0,0,7,1,0,2
8,45.0,https://insights.blackcoffer.com/how-machine-learning-will-affect-your-business/,33,-13,-0.9999989880002401,0.7715026759417467,11.914285714285715,12.949640287769784,9.9455704008222,22.914285714285715,54,417,0,2,3
9,46.0,https://insights.blackcoffer.com/deep-learning-impact-on-areas-of-e-learning/,65,-34,-0.9999989522583206,0.6555062641231825,15.5875,17.48195669607057,13.227782678428227,30.425,218,1247,0,11,4
